gene	chromosome	start	end	strand	length
tetur07g07920	chromosome_1	28998852	29000945	+	2094
tetur07g07900	chromosome_1	29011038	29013049	+	2012
tetur07g07890	chromosome_1	29013767	29015972	+	2206
tetur07g07880	chromosome_1	29016625	29019288	+	2664
tetur07g07870	chromosome_1	29019579	29022222	-	2644
tetur07g07860	chromosome_1	29023543	29030506	-	6964
tetur07g08279	chromosome_1	29031501	29033684	-	2184
tetur07g07820	chromosome_1	29038690	29041730	-	3041
tetur07g91814	chromosome_1	29043481	29045880	-	2400
tetur07g07810	chromosome_1	29046581	29047744	-	1164
tetur07g91815	chromosome_1	29048878	29049045	-	168
tetur07g07800	chromosome_1	29049624	29049989	+	366
tetur07g07790	chromosome_1	29058076	29058415	-	340
tetur07g07780	chromosome_1	29064996	29065304	-	309
tetur07g91816	chromosome_1	29067845	29068402	-	558
tetur07g07770	chromosome_1	29070025	29077398	+	7374
tetur07g07760	chromosome_1	29085852	29086274	+	423
tetur07g91818	chromosome_1	29093863	29095001	-	1139
tetur07g08309	chromosome_1	29096640	29097164	-	525
tetur07g07740	chromosome_1	29097178	29097855	-	678
tetur07g07730	chromosome_1	29100780	29102045	+	1266
tetur07g07710	chromosome_1	29103400	29103844	+	445
tetur07g07700	chromosome_1	29104401	29104804	+	404
tetur07g07690	chromosome_1	29104967	29105600	-	634
tetur07g91819	chromosome_1	29107630	29108136	+	507
tetur07g07660	chromosome_1	29113611	29121015	-	7405
tetur07g91821	chromosome_1	29115208	29115537	-	330
tetur07g91823	chromosome_1	29119065	29119671	+	607
tetur07g91824	chromosome_1	29122927	29123268	+	342
tetur07g91825	chromosome_1	29135126	29137228	-	2103
tetur07g91826	chromosome_1	29140081	29140312	-	232
tetur07g91827	chromosome_1	29151199	29151435	+	237
tetur07g91986	chromosome_1	29161416	29161730	-	315
tetur07g07630	chromosome_1	29162126	29162401	+	276
tetur07g91828	chromosome_1	29164584	29165102	+	519
tetur07g07620	chromosome_1	29168330	29168504	+	175
tetur07g91829	chromosome_1	29172161	29172584	+	424
tetur07g07610	chromosome_1	29174940	29180865	-	5926
tetur07g07590	chromosome_1	29175042	29198987	-	23946
tetur07g07600	chromosome_1	29180757	29181650	-	894
tetur07g07580	chromosome_1	29200912	29201072	-	161
tetur07g07570	chromosome_1	29202327	29203790	-	1464
tetur07g07560	chromosome_1	29204356	29204726	+	371
tetur07g07550	chromosome_1	29207908	29209721	+	1814
tetur07g07540	chromosome_1	29210050	29210211	+	162
tetur07g07530	chromosome_1	29210843	29212866	-	2024
tetur07g07520	chromosome_1	29213475	29215735	-	2261
tetur07g07510	chromosome_1	29216122	29217884	-	1763
tetur07g07500	chromosome_1	29219885	29222294	-	2410
tetur07g07490	chromosome_1	29225088	29227250	+	2163
tetur07g91832	chromosome_1	29227994	29228214	-	221
tetur07g07480	chromosome_1	29228561	29229501	-	941
tetur07g07470	chromosome_1	29231150	29233231	-	2082
tetur07g07460	chromosome_1	29233822	29236883	-	3062
tetur07g07450	chromosome_1	29237370	29240424	-	3055
tetur07g07440	chromosome_1	29242765	29247107	-	4343
tetur07g07430	chromosome_1	29249188	29251074	-	1887
tetur07g07420	chromosome_1	29251417	29251876	-	460
tetur07g07400	chromosome_1	29252721	29253850	-	1130
tetur07g07390	chromosome_1	29262459	29263238	-	780
tetur07g07380	chromosome_1	29263546	29266422	-	2877
tetur07g07370	chromosome_1	29268635	29271212	-	2578
tetur07g07360	chromosome_1	29272792	29273092	-	301
tetur07g07350	chromosome_1	29274234	29276266	+	2033
tetur07g07340	chromosome_1	29276799	29280211	-	3413
tetur07g07330	chromosome_1	29280892	29282202	-	1311
tetur07g07320	chromosome_1	29282378	29283928	-	1551
tetur07g07310	chromosome_1	29285351	29286181	-	831
tetur07g07300	chromosome_1	29287049	29287879	+	831
tetur07g07290	chromosome_1	29291318	29292450	+	1133
tetur07g07280	chromosome_1	29291877	29293533	-	1657
tetur07g07270	chromosome_1	29293746	29295054	+	1309
tetur07g07260	chromosome_1	29295412	29298280	+	2869
tetur07g07250	chromosome_1	29299527	29303591	+	4065
tetur07g07230	chromosome_1	29304213	29309900	+	5688
tetur07g07220	chromosome_1	29312133	29316830	+	4698
tetur07g07210	chromosome_1	29318634	29323627	-	4994
tetur07g07200	chromosome_1	29335025	29339871	-	4847
tetur07g07190	chromosome_1	29340069	29347745	+	7677
tetur07g07180	chromosome_1	29347871	29349776	+	1906
tetur07g07170	chromosome_1	29350314	29352205	+	1892
tetur07g07140	chromosome_1	29353490	29354280	-	791
tetur07g07130	chromosome_1	29355953	29358027	+	2075
tetur07g07120	chromosome_1	29361723	29364857	+	3135
tetur07g07110	chromosome_1	29365314	29366204	-	891
tetur07g07100	chromosome_1	29366365	29368080	+	1716
tetur07g07090	chromosome_1	29369253	29370620	-	1368
tetur07g07080	chromosome_1	29372543	29374603	+	2061
tetur07g07070	chromosome_1	29377249	29379727	+	2479
tetur07g07060	chromosome_1	29380488	29382808	-	2321
tetur07g07050	chromosome_1	29383202	29384708	+	1507
tetur07g07040	chromosome_1	29383918	29384634	-	717
tetur07g07030	chromosome_1	29385225	29386866	-	1642
tetur07g91834	chromosome_1	29387854	29388690	-	837
tetur07g08209	chromosome_1	29390066	29392523	-	2458
tetur07g07020	chromosome_1	29393330	29397303	-	3974
tetur07g07010	chromosome_1	29398167	29399033	-	867
tetur07g07000	chromosome_1	29400632	29402927	+	2296
tetur07g06990	chromosome_1	29405129	29405895	+	767
tetur07g06980	chromosome_1	29409398	29409649	-	252
tetur07g06970	chromosome_1	29412246	29413436	-	1191
tetur07g06960	chromosome_1	29415001	29416186	-	1186
tetur07g06950	chromosome_1	29417866	29420102	-	2237
tetur07g06940	chromosome_1	29421068	29422112	-	1045
tetur07g06930	chromosome_1	29422183	29424372	+	2190
tetur07g06920	chromosome_1	29424318	29426178	-	1861
tetur07g06910	chromosome_1	29426757	29427438	+	682
tetur07g06900	chromosome_1	29427633	29428495	-	863
tetur07g06890	chromosome_1	29429307	29430469	+	1163
tetur07g06880	chromosome_1	29431440	29433590	+	2151
tetur07g06870	chromosome_1	29432920	29434424	-	1505
tetur07g06860	chromosome_1	29435287	29439947	-	4661
tetur07g06850	chromosome_1	29440596	29443780	-	3185
tetur07g06840	chromosome_1	29444415	29448063	-	3649
tetur07g06830	chromosome_1	29449123	29451183	-	2061
tetur07g06820	chromosome_1	29451616	29451786	-	171
tetur07g06810	chromosome_1	29451903	29453077	-	1175
tetur07g06800	chromosome_1	29454399	29458242	+	3844
tetur07g06790	chromosome_1	29459077	29461209	-	2133
tetur07g06780	chromosome_1	29462341	29463549	+	1209
tetur07g06770	chromosome_1	29463532	29465042	-	1511
tetur07g06760	chromosome_1	29465549	29468338	+	2790
tetur07g06750	chromosome_1	29468862	29470424	-	1563
tetur07g06740	chromosome_1	29470984	29472896	-	1913
tetur07g91835	chromosome_1	29474958	29475134	-	177
tetur07g06730	chromosome_1	29475855	29476306	-	452
tetur07g06720	chromosome_1	29477280	29478863	-	1584
tetur07g91836	chromosome_1	29478888	29480704	-	1817
tetur07g06710	chromosome_1	29482473	29484354	-	1882
tetur07g08057	chromosome_1	29485831	29487145	-	1315
tetur07g06700	chromosome_1	29487976	29492401	-	4426
tetur07g08077	chromosome_1	29493407	29494699	-	1293
tetur07g08067	chromosome_1	29496227	29497550	-	1324
tetur07g06690	chromosome_1	29498382	29501165	+	2784
tetur07g06680	chromosome_1	29502546	29503076	+	531
tetur07g06670	chromosome_1	29520347	29545184	+	24838
tetur07g06660	chromosome_1	29520347	29550456	+	30110
tetur07g06650	chromosome_1	29551403	29552977	+	1575
tetur07g06640	chromosome_1	29555261	29559329	-	4069
tetur07g06630	chromosome_1	29562436	29566574	-	4139
tetur07g06620	chromosome_1	29567418	29569500	+	2083
tetur07g06610	chromosome_1	29570113	29571939	-	1827
tetur07g06600	chromosome_1	29572110	29572316	-	207
tetur07g06590	chromosome_1	29573226	29574894	+	1669
tetur07g06580	chromosome_1	29576733	29580958	+	4226
tetur07g06560	chromosome_1	29585256	29586043	+	788
tetur07g06550	chromosome_1	29586199	29595688	-	9490
tetur07g06540	chromosome_1	29598807	29600163	-	1357
tetur07g06530	chromosome_1	29600822	29604877	-	4056
tetur07g06520	chromosome_1	29605125	29608085	+	2961
tetur07g06510	chromosome_1	29608865	29609758	+	894
tetur07g06500	chromosome_1	29610630	29611397	+	768
tetur07g06490	chromosome_1	29612274	29612528	-	255
tetur07g06480	chromosome_1	29612826	29614313	+	1488
tetur07g06450	chromosome_1	29616172	29622661	-	6490
tetur07g06470	chromosome_1	29617436	29618198	+	763
tetur07g06460	chromosome_1	29619109	29620572	+	1464
tetur07g06440	chromosome_1	29624554	29626037	+	1484
tetur07g06430	chromosome_1	29626998	29628973	-	1976
tetur07g06420	chromosome_1	29631233	29632537	-	1305
tetur07g06410	chromosome_1	29634033	29635514	+	1482
tetur07g06400	chromosome_1	29636376	29637218	-	843
tetur07g06390	chromosome_1	29638964	29640802	-	1839
tetur07g91838	chromosome_1	29641152	29641507	+	356
tetur07g06380	chromosome_1	29642485	29643852	-	1368
tetur07g08269	chromosome_1	29645971	29646803	-	833
tetur07g06350	chromosome_1	29648113	29660650	+	12538
tetur07g06340	chromosome_1	29662424	29664882	-	2459
tetur07g06330	chromosome_1	29665296	29665869	-	574
tetur07g06320	chromosome_1	29666529	29669966	-	3438
tetur07g06310	chromosome_1	29670319	29672137	+	1819
tetur07g06300	chromosome_1	29672483	29672926	-	444
tetur07g06290	chromosome_1	29673435	29678008	-	4574
tetur07g06280	chromosome_1	29679579	29681713	+	2135
tetur07g06270	chromosome_1	29682143	29682400	-	258
tetur07g91839	chromosome_1	29682525	29683017	-	493
tetur07g06260	chromosome_1	29683592	29684931	+	1340
tetur07g06250	chromosome_1	29685180	29686212	-	1033
tetur07g06230	chromosome_1	29687033	29690663	+	3631
tetur07g06240	chromosome_1	29687115	29688053	+	939
tetur07g06220	chromosome_1	29691465	29693600	+	2136
tetur07g06210	chromosome_1	29694195	29696322	-	2128
tetur07g91840	chromosome_1	29696939	29699384	+	2446
tetur07g06200	chromosome_1	29703734	29707571	+	3838
tetur07g06190	chromosome_1	29710811	29714371	+	3561
tetur07g06180	chromosome_1	29715350	29715776	-	427
tetur07g06170	chromosome_1	29715350	29719677	-	4328
tetur07g06160	chromosome_1	29725320	29726465	+	1146
tetur07g06150	chromosome_1	29729956	29731101	+	1146
tetur07g06140	chromosome_1	29733289	29735820	+	2532
tetur07g06130	chromosome_1	29736329	29738876	+	2548
tetur07g06120	chromosome_1	29739378	29741783	+	2406
tetur07g06090	chromosome_1	29741722	29753848	+	12127
tetur07g06110	chromosome_1	29741864	29749799	+	7936
tetur07g06100	chromosome_1	29750266	29750579	+	314
tetur07g06080	chromosome_1	29753943	29758776	-	4834
tetur07g06070	chromosome_1	29755303	29758211	+	2909
tetur07g91841	chromosome_1	29758537	29758869	-	333
tetur07g06060	chromosome_1	29759313	29762645	+	3333
tetur07g06050	chromosome_1	29763208	29764602	-	1395
tetur07g91842	chromosome_1	29765328	29765553	-	226
tetur07g06040	chromosome_1	29765767	29768390	+	2624
tetur07g91843	chromosome_1	29769089	29771159	+	2071
tetur07g06030	chromosome_1	29773066	29775285	+	2220
tetur07g06020	chromosome_1	29775965	29777648	+	1684
tetur07g06010	chromosome_1	29777728	29779027	-	1300
tetur07g06000	chromosome_1	29780252	29782506	-	2255
tetur07g05990	chromosome_1	29782939	29784239	+	1301
tetur07g05980	chromosome_1	29784877	29786295	+	1419
tetur07g05970	chromosome_1	29787074	29788165	-	1092
tetur07g05960	chromosome_1	29790295	29790425	+	131
tetur07g05940	chromosome_1	29794709	29795750	+	1042
tetur07g05930	chromosome_1	29797078	29797875	+	798
tetur07g05920	chromosome_1	29798449	29798931	-	483
tetur07g05910	chromosome_1	29799499	29801289	-	1791
tetur07g05900	chromosome_1	29802044	29804081	-	2038
tetur07g05880	chromosome_1	29804429	29805506	-	1078
tetur07g05870	chromosome_1	29821993	29823422	-	1430
tetur07g05860	chromosome_1	29824035	29824815	-	781
tetur07g05850	chromosome_1	29826108	29827333	-	1226
tetur07g05840	chromosome_1	29832540	29833723	-	1184
tetur07g05830	chromosome_1	29835062	29835859	-	798
tetur07g05820	chromosome_1	29837412	29837939	-	528
tetur07g05800	chromosome_1	29849380	29850389	-	1010
tetur07g05790	chromosome_1	29851932	29853087	-	1156
tetur07g05780	chromosome_1	29854063	29855449	-	1387
tetur07g05770	chromosome_1	29856912	29858406	-	1495
tetur07g05760	chromosome_1	29859907	29861171	-	1265
tetur07g05750	chromosome_1	29861779	29865010	-	3232
tetur07g05740	chromosome_1	29865103	29869046	-	3944
tetur07g05730	chromosome_1	29869543	29870674	+	1132
tetur07g91989	chromosome_1	29870780	29873059	-	2280
tetur07g05720	chromosome_1	29875124	29878523	+	3400
tetur07g05700	chromosome_1	29879717	29884824	+	5108
tetur07g05680	chromosome_1	29886738	29888473	-	1736
tetur07g05670	chromosome_1	29890016	29892288	-	2273
tetur07g05660	chromosome_1	29892572	29892749	+	178
tetur07g05650	chromosome_1	29894280	29924626	-	30347
tetur07g91845	chromosome_1	29925889	29926071	+	183
tetur07g05640	chromosome_1	29928554	29929447	+	894
tetur07g05630	chromosome_1	29935759	29936008	+	250
tetur07g05620	chromosome_1	29936384	29936891	+	508
tetur07g05610	chromosome_1	29949769	29950018	+	250
tetur07g05600	chromosome_1	29950993	29951488	+	496
tetur07g05590	chromosome_1	29952552	29952859	+	308
tetur07g05580	chromosome_1	29962362	29972045	-	9684
tetur07g05570	chromosome_1	29973423	29976727	+	3305
tetur07g05560	chromosome_1	29976809	29977428	-	620
tetur07g05550	chromosome_1	29981270	29981543	-	274
tetur07g91847	chromosome_1	29981682	29982860	-	1179
tetur07g05540	chromosome_1	29983158	29983383	-	226
tetur07g05530	chromosome_1	29984703	29985575	-	873
tetur07g05520	chromosome_1	29985608	30002329	+	16722
tetur07g08040	chromosome_1	29988804	29989997	-	1194
tetur07g05510	chromosome_1	30008789	30024781	+	15993
tetur07g05500	chromosome_1	30026775	30028561	+	1787
tetur07g05490	chromosome_1	30028878	30037061	-	8184
tetur07g05480	chromosome_1	30037929	30042673	-	4745
tetur07g05450	chromosome_1	30044445	30046490	+	2046
tetur07g05440	chromosome_1	30047532	30054134	-	6603
tetur07g05430	chromosome_1	30051299	30052287	+	989
tetur07g05410	chromosome_1	30054462	30056089	-	1628
tetur07g05400	chromosome_1	30056571	30058173	-	1603
tetur07g05390	chromosome_1	30058890	30060497	+	1608
tetur07g05380	chromosome_1	30060924	30062624	+	1701
tetur07g05370	chromosome_1	30064419	30065831	+	1413
tetur07g05360	chromosome_1	30067540	30068102	+	563
tetur07g05350	chromosome_1	30069880	30080425	+	10546
tetur07g05330	chromosome_1	30080797	30081662	+	866
tetur07g05320	chromosome_1	30083094	30084201	-	1108
tetur07g05310	chromosome_1	30086797	30091676	-	4880
tetur07g05300	chromosome_1	30095459	30098525	-	3067
tetur07g05290	chromosome_1	30098579	30098806	+	228
tetur07g05280	chromosome_1	30098917	30099707	-	791
tetur07g05270	chromosome_1	30099910	30101331	-	1422
tetur07g05260	chromosome_1	30102230	30103663	-	1434
tetur07g05250	chromosome_1	30104424	30106177	-	1754
tetur07g05240	chromosome_1	30107909	30108889	-	981
tetur07g05220	chromosome_1	30108960	30109990	+	1031
tetur07g05210	chromosome_1	30112532	30115075	+	2544
tetur07g05200	chromosome_1	30117005	30121882	+	4878
tetur07g05190	chromosome_1	30122399	30125909	+	3511
tetur07g05180	chromosome_1	30126537	30133880	+	7344
tetur07g05170	chromosome_1	30135307	30135533	+	227
tetur07g05160	chromosome_1	30135844	30139508	+	3665
tetur07g05150	chromosome_1	30142758	30155008	-	12251
tetur07g05140	chromosome_1	30155364	30155529	+	166
tetur07g05130	chromosome_1	30158831	30160708	+	1878
tetur07g05120	chromosome_1	30166541	30166975	+	435
tetur07g05110	chromosome_1	30167852	30167910	+	59
tetur07g05100	chromosome_1	30185629	30203824	+	18196
tetur07g91848	chromosome_1	30215702	30216303	+	602
tetur07g91849	chromosome_1	30235725	30236333	+	609
tetur07g05090	chromosome_1	30266973	30268801	-	1829
tetur07g05070	chromosome_1	30269029	30271821	-	2793
tetur07g05060	chromosome_1	30274915	30275302	+	388
tetur07g05050	chromosome_1	30279063	30279829	+	767
tetur07g08097	chromosome_1	30281114	30282221	-	1108
tetur07g05040	chromosome_1	30282791	30283892	-	1102
tetur07g05030	chromosome_1	30284431	30285527	-	1097
tetur07g08117	chromosome_1	30293601	30294706	-	1106
tetur07g08107	chromosome_1	30295239	30296356	-	1118
tetur07g05000	chromosome_1	30296961	30298068	-	1108
tetur07g04990	chromosome_1	30298785	30299893	-	1109
tetur07g04980	chromosome_1	30300458	30301568	-	1111
tetur07g04970	chromosome_1	30302019	30303246	+	1228
tetur07g91850	chromosome_1	30304271	30305198	+	928
tetur07g04960	chromosome_1	30306059	30306910	+	852
tetur07g04940	chromosome_1	30306989	30311100	-	4112
tetur07g04930	chromosome_1	30314670	30315806	+	1137
tetur07g04910	chromosome_1	30320018	30321105	-	1088
tetur07g08000	chromosome_1	30321347	30322166	+	820
tetur07g04900	chromosome_1	30323054	30324246	-	1193
tetur07g04890	chromosome_1	30324805	30325455	+	651
tetur07g04880	chromosome_1	30325582	30326857	-	1276
tetur07g04870	chromosome_1	30328047	30328316	-	270
tetur07g04860	chromosome_1	30329930	30330156	-	227
tetur07g91851	chromosome_1	30332144	30332293	+	150
tetur07g04840	chromosome_1	30335023	30348340	+	13318
tetur07g04820	chromosome_1	30349477	30350388	+	912
tetur07g04810	chromosome_1	30355515	30371240	+	15726
tetur07g04800	chromosome_1	30373501	30373657	-	157
tetur07g91852	chromosome_1	30375201	30375925	-	725
tetur07g91853	chromosome_1	30376281	30376442	+	162
tetur07g04790	chromosome_1	30381994	30382341	-	348
tetur07g04780	chromosome_1	30383084	30383533	+	450
tetur07g04770	chromosome_1	30385007	30385841	+	835
tetur07g04760	chromosome_1	30386502	30386718	+	217
tetur07g04750	chromosome_1	30386902	30387077	+	176
tetur07g91854	chromosome_1	30394049	30394363	-	315
tetur07g04730	chromosome_1	30395967	30396320	-	354
tetur07g04720	chromosome_1	30399947	30402036	+	2090
tetur07g04700	chromosome_1	30403460	30403651	-	192
tetur07g04690	chromosome_1	30404497	30404944	+	448
tetur07g91855	chromosome_1	30405082	30406179	-	1098
tetur07g04680	chromosome_1	30407157	30433178	+	26022
tetur07g08039	chromosome_1	30417398	30418956	-	1559
tetur07g04670	chromosome_1	30434556	30436169	-	1614
tetur07g04660	chromosome_1	30436347	30439476	-	3130
tetur07g04650	chromosome_1	30439712	30440477	+	766
tetur07g04630	chromosome_1	30445274	30473533	+	28260
tetur07g04620	chromosome_1	30479154	30479440	-	287
tetur07g04610	chromosome_1	30481255	30486339	+	5085
tetur07g04600	chromosome_1	30487350	30492170	-	4821
tetur07g04590	chromosome_1	30496721	30498181	+	1461
tetur07g04580	chromosome_1	30498581	30504853	-	6273
tetur07g91856	chromosome_1	30507883	30508053	-	171
tetur07g04570	chromosome_1	30512216	30512967	+	752
tetur07g04560	chromosome_1	30516204	30518491	-	2288
tetur07g04550	chromosome_1	30520071	30523644	-	3574
tetur07g04540	chromosome_1	30524097	30524363	+	267
tetur07g04530	chromosome_1	30524442	30525270	-	829
tetur07g04520	chromosome_1	30527084	30527248	+	165
tetur07g04510	chromosome_1	30527351	30535993	-	8643
tetur07g04500	chromosome_1	30537776	30540563	+	2788
tetur07g04490	chromosome_1	30540828	30550449	-	9622
tetur07g04480	chromosome_1	30552312	30573448	-	21137
tetur07g08038	chromosome_1	30555791	30556637	+	847
tetur07g04470	chromosome_1	30580181	30581911	+	1731
tetur07g04460	chromosome_1	30583247	30584134	+	888
tetur07g04450	chromosome_1	30584442	30586636	+	2195
tetur07g04440	chromosome_1	30588686	30589520	-	835
tetur07g04430	chromosome_1	30590212	30596173	+	5962
tetur07g04420	chromosome_1	30596080	30597936	-	1857
tetur07g04410	chromosome_1	30601933	30606358	-	4426
tetur07g04400	chromosome_1	30608520	30608999	+	480
tetur07g04390	chromosome_1	30614578	30614784	+	207
tetur07g91857	chromosome_1	30614830	30615406	+	577
tetur07g04380	chromosome_1	30617106	30618500	+	1395
tetur07g04370	chromosome_1	30624029	30625673	+	1645
tetur07g04360	chromosome_1	30626028	30628618	-	2591
tetur07g04350	chromosome_1	30630213	30632959	-	2747
tetur07g04340	chromosome_1	30633395	30634340	+	946
tetur07g04330	chromosome_1	30634499	30635785	-	1287
tetur07g04320	chromosome_1	30634499	30637018	-	2520
tetur07g04310	chromosome_1	30637157	30640746	-	3590
tetur07g04300	chromosome_1	30642971	30646002	+	3032
tetur07g04290	chromosome_1	30647859	30652286	+	4428
tetur07g04280	chromosome_1	30652992	30654919	+	1928
tetur07g04270	chromosome_1	30655373	30660498	+	5126
tetur07g04260	chromosome_1	30660651	30661925	-	1275
tetur07g04250	chromosome_1	30662984	30664567	-	1584
tetur07g04240	chromosome_1	30664875	30665688	+	814
tetur07g04230	chromosome_1	30665894	30683217	+	17324
tetur07g04220	chromosome_1	30684531	30687030	-	2500
tetur07g04210	chromosome_1	30687754	30691257	+	3504
tetur07g04200	chromosome_1	30692266	30693652	+	1387
tetur07g04190	chromosome_1	30694406	30695474	-	1069
tetur07g04180	chromosome_1	30695879	30704250	-	8372
tetur07g04170	chromosome_1	30705114	30710859	-	5746
tetur07g04160	chromosome_1	30712286	30716498	-	4213
tetur07g04150	chromosome_1	30717691	30721343	-	3653
tetur07g04140	chromosome_1	30722452	30724097	-	1646
tetur07g04120	chromosome_1	30724400	30729082	-	4683
tetur07g91858	chromosome_1	30729653	30730257	-	605
tetur07g04110	chromosome_1	30730693	30732434	+	1742
tetur07g91859	chromosome_1	30735412	30735894	+	483
tetur07g04100	chromosome_1	30735987	30745121	-	9135
tetur07g04090	chromosome_1	30746038	30751335	-	5298
tetur07g91860	chromosome_1	30755551	30755983	-	433
tetur07g04080	chromosome_1	30758168	30761311	+	3144
tetur07g04070	chromosome_1	30764210	30774940	+	10731
tetur07g04060	chromosome_1	30781894	30786263	+	4370
tetur07g04050	chromosome_1	30787789	30790265	-	2477
tetur07g04040	chromosome_1	30790517	30797074	+	6558
tetur07g04030	chromosome_1	30797370	30798149	-	780
tetur07g04020	chromosome_1	30798405	30799830	-	1426
tetur07g04010	chromosome_1	30800090	30802733	-	2644
tetur07g04000	chromosome_1	30802975	30805389	-	2415
tetur07g03990	chromosome_1	30805904	30807448	+	1545
tetur07g03980	chromosome_1	30807776	30809918	-	2143
tetur07g03970	chromosome_1	30810590	30811619	-	1030
tetur07g03960	chromosome_1	30812065	30813352	+	1288
tetur07g03950	chromosome_1	30813453	30816428	-	2976
tetur07g03940	chromosome_1	30816488	30818832	-	2345
tetur07g03930	chromosome_1	30819567	30822009	+	2443
tetur07g03920	chromosome_1	30822875	30823741	+	867
tetur07g03910	chromosome_1	30824979	30825500	+	522
tetur07g03900	chromosome_1	30826099	30834180	+	8082
tetur07g03890	chromosome_1	30837041	30838852	-	1812
tetur07g03880	chromosome_1	30840142	30840977	+	836
tetur07g03870	chromosome_1	30842094	30843230	-	1137
tetur07g03860	chromosome_1	30843818	30846197	+	2380
tetur07g03850	chromosome_1	30846612	30855281	+	8670
tetur07g03840	chromosome_1	30857219	30859564	+	2346
tetur07g03830	chromosome_1	30859788	30862988	-	3201
tetur07g91861	chromosome_1	30865923	30866214	-	292
tetur07g03820	chromosome_1	30866303	30866651	+	349
tetur07g03810	chromosome_1	30867509	30870175	+	2667
tetur07g03800	chromosome_1	30871254	30871584	-	331
tetur07g03790	chromosome_1	30877131	30878032	+	902
tetur07g03780	chromosome_1	30878232	30879098	-	867
tetur07g03760	chromosome_1	30882787	30884801	+	2015
tetur07g03750	chromosome_1	30885651	30906083	-	20433
tetur07g03740	chromosome_1	30906768	30907565	-	798
tetur07g03730	chromosome_1	30907854	30909663	+	1810
tetur07g03720	chromosome_1	30909907	30918517	-	8611
tetur07g03710	chromosome_1	30920412	30921855	-	1444
tetur07g03700	chromosome_1	30922219	30923393	-	1175
tetur07g03690	chromosome_1	30924885	30925201	+	317
tetur07g03680	chromosome_1	30926035	30926261	-	227
tetur07g03670	chromosome_1	30929828	30936407	+	6580
tetur07g03660	chromosome_1	30936453	30937874	+	1422
tetur07g03650	chromosome_1	30937976	30939349	-	1374
tetur07g03640	chromosome_1	30940440	30941602	+	1163
tetur07g03630	chromosome_1	30942168	30942765	-	598
tetur07g03620	chromosome_1	30943656	30945749	-	2094
tetur07g03610	chromosome_1	30946708	30947599	+	892
tetur07g03600	chromosome_1	30948472	30957356	-	8885
tetur07g03590	chromosome_1	30948472	30960902	-	12431
tetur07g03580	chromosome_1	30964169	30965191	-	1023
tetur07g03570	chromosome_1	30970062	30971705	+	1644
tetur07g03560	chromosome_1	30971964	30973444	-	1481
tetur07g03550	chromosome_1	30973521	30975431	+	1911
tetur07g03540	chromosome_1	30975495	30979777	-	4283
tetur07g03520	chromosome_1	30981799	30983320	+	1522
tetur07g03510	chromosome_1	30983377	30984114	-	738
tetur07g03500	chromosome_1	30985019	30985597	-	579
tetur07g03490	chromosome_1	30986799	30987506	+	708
tetur07g03480	chromosome_1	30990839	30991223	-	385
tetur07g91863	chromosome_1	30991509	30991703	+	195
tetur07g03470	chromosome_1	30992276	30992626	-	351
tetur07g03460	chromosome_1	30995749	30996625	+	877
tetur07g03450	chromosome_1	30996881	31002023	-	5143
tetur07g03440	chromosome_1	31004660	31006772	+	2113
tetur07g91864	chromosome_1	31007675	31008269	-	595
tetur07g91865	chromosome_1	31010298	31010606	+	309
tetur07g03430	chromosome_1	31011882	31021573	+	9692
tetur07g03420	chromosome_1	31022416	31023166	-	751
tetur07g03410	chromosome_1	31023302	31029975	+	6674
tetur07g03400	chromosome_1	31031456	31032246	-	791
tetur07g91866	chromosome_1	31035557	31035964	-	408
tetur07g03390	chromosome_1	31050272	31050593	+	322
tetur07g03380	chromosome_1	31053213	31053614	+	402
tetur07g03370	chromosome_1	31055000	31055227	-	228
tetur07g03360	chromosome_1	31084329	31084778	-	450
tetur07g08239	chromosome_1	31092478	31092900	-	423
tetur07g03350	chromosome_1	31100689	31101193	+	505
tetur07g03340	chromosome_1	31104311	31120644	-	16334
tetur07g91867	chromosome_1	31124156	31124308	+	153
tetur07g03330	chromosome_1	31125907	31126762	-	856
tetur07g03310	chromosome_1	31126979	31128296	+	1318
tetur07g03300	chromosome_1	31128637	31129851	-	1215
tetur07g03290	chromosome_1	31130010	31131990	+	1981
tetur07g03280	chromosome_1	31132147	31133733	+	1587
tetur07g03270	chromosome_1	31134382	31136658	-	2277
tetur07g03260	chromosome_1	31137253	31139295	+	2043
tetur07g03250	chromosome_1	31139355	31146341	-	6987
tetur07g03240	chromosome_1	31139355	31149607	-	10253
tetur07g91868	chromosome_1	31150044	31150366	+	323
tetur07g03230	chromosome_1	31150599	31152314	-	1716
tetur07g03220	chromosome_1	31153726	31155237	-	1512
tetur07g03210	chromosome_1	31156699	31164068	+	7370
tetur07g03200	chromosome_1	31165892	31173379	-	7488
tetur07g08036	chromosome_1	31170494	31171648	+	1155
tetur07g91869	chromosome_1	31173677	31173976	+	300
tetur07g03190	chromosome_1	31174502	31179448	+	4947
tetur07g03180	chromosome_1	31182086	31202733	-	20648
tetur07g03170	chromosome_1	31192867	31193840	+	974
tetur07g03160	chromosome_1	31194905	31195981	+	1077
tetur07g03150	chromosome_1	31196905	31197948	+	1044
tetur07g03130	chromosome_1	31203857	31204300	+	444
tetur07g03120	chromosome_1	31204457	31206553	+	2097
tetur07g03110	chromosome_1	31206498	31207900	-	1403
tetur07g03100	chromosome_1	31210271	31211026	+	756
